index,smiles
1,Brc1cc(Br)cc(Br)c1
2,CC(Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C(=O)O
3,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C
4,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
5,CCOCCOC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1
6,ClC(Cl)c1ccccc1
7,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl
8,Clc1cc(Cl)c(Cl)cc1Cl
9,Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
10,Clc1ccc(Cl)c(Cl)c1Cl
11,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
12,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl
13,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
14,FC(F)(F)C(=NOCC1OCCO1)c1ccc(Cl)cc1
15,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
16,FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
17,FC(F)(F)c1ccc(Cl)c(Cl)c1
18,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F
19,Nc1ccc([N+](=O)[O-])c(N)c1
20,O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl
21,O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
22,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
23,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
24,O=C(OCc1ccccc1)c1sc(Cl)nc1C(F)(F)F
25,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
26,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
27,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
28,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1
29,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
30,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
